"city","county","state","total_penjualan","population","penjualan_perkapita"
"Eldon","Wapello","Iowa","126658.15000000008",1306,"96.9817381316998"
"Mechanicsville","Cedar","Iowa","150528.7400000001",1601,"94.02169893816367"
"Montrose","Lee","Iowa","175434.19000000006",1888,"92.92065148305106"
"Fairbank","Buchanan","Iowa","240941.23000000045",2605,"92.49183493282132"
"Blairstown","Benton","Iowa","100366.5",1100,"91.2422727272727"
"Akron","Plymouth","Iowa","211781.1200000001",2330,"90.89318454935628"
"Mitchellville","Polk","Iowa","271607.07999999984",2989,"90.86887922382056"
"Dysart","Tama","Iowa","179311.96999999994",1974,"90.8368642350557"
"Ames","Story","Iowa","2693450.0800000126",29706,"90.67023766242524"
"Winfield","Henry","Iowa","128976.6699999999",1434,"89.94188981868894"
"Van Horne","Benton","Iowa","127980.40999999996",1431,"89.43424877707902"
"Reinbeck","Grundy","Iowa","201043.98999999993",2259,"88.99689685701648"
"Nashua","Chickasaw","Iowa","204490.58999999997",2305,"88.71609110629069"
"Treynor","Pottawattamie","Iowa","133892.87000000002",1521,"88.02950032873122"
"Garwin","Tama","Iowa","89358.71000000008",1024,"87.26436523437508"
"Fonda","Pocahontas","Iowa","96233.21999999997",1103,"87.24679963735274"
"Delmar","Clinton","Iowa","86409.47000000003",993,"87.01860020140995"
"Walker","Linn","Iowa","135406.14000000007",1568,"86.35595663265316"
"Clarksville","Butler","Iowa","194972.99000000005",2306,"84.55029921942753"
"Essex","Page","Iowa","97491.43000000004",1154,"84.48130849220107"
"Ogden","Boone","Iowa","235329.81000000032",2813,"83.65794880910072"
"Martelle","Jones","Iowa","54207.199999999975",654,"82.88562691131497"
"Dallas Center","Dallas","Iowa","196557.65000000008",2380,"82.58724789915985"
"Hull","Sioux","Iowa","261078.3400000002",3168,"82.41109217171716"
"Roland","Story","Iowa","134811",1650,"81.70363636363643"
"Farley","Dubuque","Iowa","195488.53000000017",2402,"81.38573272273106"
"Robins","Linn","Iowa","243858.9000000002",3059,"79.71850277868583"
"Princeton","Scott","Iowa","125498.05000000005",1580,"79.42914556962018"
"Granger","Dallas","Iowa","237385.8300000002",3023,"78.52657294078742"
"Nora Springs","Floyd","Iowa","178348.78000000003",2283,"78.12035917652219"
"Bloomfield","Davis","Iowa","566680.0099999981",7316,"77.4576284855116"
"Whittemore","Kossuth","Iowa","71930.21999999999",936,"76.84852564102567"
"Ruthven","Palo Alto","Iowa","102608.50000000015",1358,"75.55854197349046"
"Cambridge","Story","Iowa","129306.11999999995",1765,"73.26125779036823"
"Springville","Linn","Iowa","172535.23000000013",2394,"72.06985380116956"
"Oxford","Johnson","Iowa","174614.1800000002",2498,"69.90159327461978"
"Rockford","Floyd","Iowa","93957.15000000005",1383,"67.9372017353579"
"Fremont","Mahaska","Iowa","65436.17000000001",965,"67.80950259067356"
"Ely","Linn","Iowa","203045.5",3021,"67.21135385633885"
"Kanawha","Hancock","Iowa","83870.86000000002",1260,"66.56417460317466"
"Urbandale","Dallas","Iowa","969934.3700000007",14593,"66.46572808880914"
"Woodward","Dallas","Iowa","157256.11000000028",2388,"65.85264237855947"
"Keota","Keokuk","Iowa","119902.45",1823,"65.77205156335695"
"Colesburg","Delaware","Iowa","56803.29000000001",892,"63.680818385650255"
"Fairfax","Linn","Iowa","202342.4800000001",3194,"63.350807764558496"
"Lime Springs","Howard","Iowa","84070.45",1340,"62.73914179104479"
"Hamburg","Fremont","Iowa","97567.48999999993",1569,"62.18450605481193"
"Jesup","Buchanan","Iowa","263706.24",4247,"62.09235695785274"
"Villisca","Montgomery","Iowa","114473.78000000009",1900,"60.249357894736846"
"Albert City","Buena Vista","Iowa","58593.47",1003,"58.41821535393817"
"Lamont","Buchanan","Iowa","50323.51000000002",865,"58.177468208092485"
"Alta","Buena Vista","Iowa","161152.07",2778,"58.010104391648674"
"Ossian","Winneshiek","Iowa","73379.21000000004",1317,"55.71694001518604"
"Saint Charles","Madison","Iowa","157098.8900000001",2874,"54.662105080027814"
"Lone Tree","Johnson","Iowa","110599.79999999999",2048,"54.003808593749994"
"Coggon","Linn","Iowa","109463.31",2049,"53.42279648609071"
"Runnells","Polk","Iowa","160722.02",3101,"51.829093840696565"
"Alton","Sioux","Iowa","88180.02999999997",1713,"51.47695855224757"
"Prairie City","Jasper","Iowa","151290.11999999994",3009,"50.27920239282157"
"Fontanelle","Adair","Iowa","44053.77",959,"45.93719499478624"
"Seymour","Wayne","Iowa","57686.71",1264,"45.638219936708865"
"Van Meter","Dallas","Iowa","116240.22000000006",2622,"44.33265446224257"
"Casey","Guthrie","Iowa","40024.06",904,"44.27440265486723"
"Aurelia","Cherokee","Iowa","57842.17000000003",1321,"43.78665404996213"
"New London","Henry","Iowa","149537.5",3455,"43.281476121562925"
"Pomeroy","Calhoun","Iowa","33827.97",783,"43.203026819923366"
"Merrill","Plymouth","Iowa","73545.31999999999",1729,"42.536333140543675"
"Postville","Allamakee","Iowa","153122.98999999993",3669,"41.7342572908149"
"Walcott","Scott","Iowa","117566.50000000006",2821,"41.67546969159873"
"Wyoming","Jones","Iowa","46117.28",1127,"40.92039041703641"
"Melbourne","Marshall","Iowa","52203.18",1308,"39.910688073394496"
"Hinton","Plymouth","Iowa","74658.56000000003",1874,"39.83914621131269"
"New Providence","Hardin","Iowa","21419.819999999992",555,"38.59427027027026"
"Donnellson","Lee","Iowa","107039.19",2786,"38.420384063172996"
"Danville","Des Moines","Iowa","68553.02999999994",1798,"38.12738042269187"
"Calmar","Winneshiek","Iowa","68608.16000000003",1830,"37.49079781420765"
"Gilman","Marshall","Iowa","31940.970000000005",852,"37.48940140845071"
"Rudd","Floyd","Iowa","23137.67",619,"37.37911147011309"
"Aplington","Butler","Iowa","62020.54000000001",1779,"34.86258572231592"
"Tama","Tama","Iowa","136386.44",4067,"33.534900417998564"
"Morning Sun","Louisa","Iowa","46016.09",1451,"31.713363197794624"
